S.No,Product Name,Catalog No,CAS Number,Chemical / Systematic Name,Molecular Formula,Molecular Weight,Purity,Stock Status,Sub Category,Main Category,Product Slug,Live Product URL,Image URL,Created Date,Updated Date,MongoDB ID
1,"(2R,4S)-Sacubitril",PV-S001008,761373-05-1,"[R-(R*,S*)]-γ-[(3-Carboxy-1-oxopropyl)amino]-α-methyl-[1,1’-biphenyl]-4-pentanoic Acid α-Ethyl Ester ; (αS,γR)-γ-[(3-Carboxy-1-oxopropyl)amino]-α-methyl-[1,1’-biphenyl]-4-pentanoic Acid 4-Ethyl Ester ; Sacubitril Enantiomer",C24H29NO5,411.5,,In Stock,Sacubitril,API Impurity Standards,2r4s-sacubitril,https://pharmavive.com/products/browse/sacubitril/2r4s-sacubitril,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753712893/products/twowiuoerueun4oylcz1.png,2025-07-28 14:25:21,2025-07-28 14:28:13,6887885163998afe534155a4
2,"(2R,5S)-Emtricitabine Carboxylic Acid",PV-E002006,1238210-10-0,"(2R,5S)-5-(4-Amino-5-fluoro-2-oxo-1(2H)-pyrimidinyl)-1,3-oxathiolane-2-carboxylic Acid",C8H8FN3O4S,261.2,,In Stock,Emtricitabine,API Impurity Standards,2r5s-emtricitabine-carboxylic-acid,https://pharmavive.com/products/browse/emtricitabine/2r5s-emtricitabine-carboxylic-acid,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753367513/products/ztkxksbbeyzhhwcsnj1w.png,2025-07-24 14:29:35,2025-07-24 14:31:54,6882434f63998afe534139c0
3,"(2S,2R’,trans)-Saxagliptin",PV-S002008,N/A,"(1R,3S,5R)-2-[(2R)-2-Amino-2-(3-hydroxytricyclo[3.3.1.13,7]dec-1-yl)acetyl]-2-azabicyclo[3.1.0]hexane-3-carbonitrile hydrochloride",C18H25N3O2 : HCl,315.4 : 36.5,,In Stock,Saxagliptin,API Impurity Standards,2s2rtrans-saxagliptin,https://pharmavive.com/products/browse/saxagliptin/2s2rtrans-saxagliptin,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753713204/products/rdzhzmdwgnih7vwlhqcl.png,2025-07-28 14:30:20,2025-07-28 14:33:25,6887897c63998afe5341565d
4,"(2’R,2R,cis)-Saxagliptin",PV-S002007,N/A,"(1R,3R,5R)-2-[(2R)-2-Amino-2-(3-hydroxytricyclo[3.3.1.13,7]dec-1-yl)acetyl]-2-azabicyclo[3.1.0]hexane-3-carbonitrile hydrochloride",C18H25N3O2 : HCl,315.4 : 36.5,,In Stock,Saxagliptin,API Impurity Standards,2r2rcis-saxagliptin,https://pharmavive.com/products/browse/saxagliptin/2r2rcis-saxagliptin,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753713191/products/shwej4hfqhmojlps5afe.png,2025-07-28 14:30:19,2025-07-28 14:33:12,6887897b63998afe53415659
5,(R)-Citalopram oxalate,PV-C006010,219861-53-7,"(R)-(-)-1-(3-Dimethylaminopropyl)-1-(4-fluoro-phenyl)-1,3-dihydro-isobenzofuran-5-carbonitrile oxalate ;",C20H21FN2O : C2H2O4,324.4 : 90.03,,In Stock,Citalopram,API Impurity Standards,r-citalopram-oxalate,https://pharmavive.com/products/browse/citalopram/r-citalopram-oxalate,https://res.cloudinary.com/dlkh6unr5/image/upload/v1751041422/products/bjrgwdyatzalfaceoso4.png,2025-06-27 16:20:37,2025-06-27 16:23:42,685ec4d53fbc37d9db1d7b6c
6,(R)-Vildagliptin,PV-V005006,1036959-27-9,"(R)-1-(((1r,3S,5R,7S)-3-Hydroxyadamantan-1-yl)glycyl)pyrrolidine-2-carbonitrile",C17H25N3O2,303.4,,In Stock,Vildagliptin,API Impurity Standards,r-vildagliptin,https://pharmavive.com/products/browse/vildagliptin/r-vildagliptin,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753721880/products/zafjlzbsxl8rlmn6xyhv.png,2025-07-28 16:55:33,2025-07-28 16:58:01,6887ab8563998afe53416249
7,(S)-Boc-adamantylglycine,PV-S002010,361441-97-6,"(αS)​-α-​[[(1,​1-​Dimethylethoxy)​carbonyl]​amino]​-​tricyclo[3.3.1.13,​7]​decane-​1-​acetic Acid; (S)-2-((3S,5S,7S)-adamantan-1-yl)-2-((tert-butoxycarbonyl)amino)acetic acid",C17H27NO4,309.4,,In Stock,Saxagliptin,API Impurity Standards,s-boc-adamantylglycine,https://pharmavive.com/products/browse/saxagliptin/s-boc-adamantylglycine,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753713230/products/x27izjsxmafot7aak3oi.png,2025-07-28 14:30:21,2025-07-28 14:33:51,6887897d63998afe53415665
8,(S)-Cetirizine,PV-C004026,130018-76-7,[2-[4-[(S)-(4-Chlorophenyl)(phenyl)methyl]piperazin-1-yl]ethoxy]acetic Acid,C21H25ClN2O3,388.89,,In Stock,Cetirizine,API Impurity Standards,s-cetirizine,https://pharmavive.com/products/browse/cetirizine/s-cetirizine,https://res.cloudinary.com/dlkh6unr5/image/upload/v1751041017/products/klz1jhqkfdaqbuldimaj.png,2025-06-27 15:47:02,2025-06-27 16:16:58,685ebcf63fbc37d9db1d79fd
9,(S)-Ruxolitinib Phosphate,PV-R006007,2703484-89-1,"(S)-3-(4-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)-1H-pyrazol-1-yl)-3-cyclopentylpropanenitrilephosphate",C17H18N6 : H3O4P,306.4 : 98.0,,In Stock,Ruxolitinib,API Impurity Standards,s-ruxolitinib-phosphate,https://pharmavive.com/products/browse/ruxolitinib/s-ruxolitinib-phosphate,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753712678/products/elmuacyt2aav9dkdkn7z.png,2025-07-28 14:22:22,2025-07-28 14:24:38,6887879e63998afe53415538
10,(S)-Sitagliptin N-Boc-Acid Impurity,PV-S006016,922178-94-7,"(S)-3-((tert-butoxycarbonyl)amino)-4-(2,4,5-trifluorophenyl)butanoic acid",C15H18F3NO4,333.3,,In Stock,Sitagliptin,API Impurity Standards,s-sitagliptin-n-boc-acid-impurity,https://pharmavive.com/products/browse/sitagliptin/s-sitagliptin-n-boc-acid-impurity,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753714744/products/pmvdhjzn6ln5spxlikci.png,2025-07-28 14:52:27,2025-07-28 14:59:05,68878eab63998afe534158d8
11,"1,3-Adamantanediol",PV-V005015,5001-18-3,"1,3-Dihydroxyadamantane ; (1s,3s,5s,7s)-adamantane-1,3-diol",C10H16O2,168.2,,In Stock,Vildagliptin,API Impurity Standards,13-adamantanediol,https://pharmavive.com/products/browse/vildagliptin/13-adamantanediol,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753722001/products/r7hsksphrcc9kukke97r.png,2025-07-28 16:55:39,2025-07-28 17:00:01,6887ab8b63998afe5341626d
12,"1,3-Disubstituted Acetyl Uridine",PV-U004002,261618-94-4,"(2R,2'R,3R,3'R,4R,4'R,5R,5'R)-(2,4-dioxopyrimidine-1,3(2H,4H)-diyl)bis(5-(acetoxymethyl)tetrahydrofuran-2,3,4-triyl) tetraacetate",C26H32N2O16,628.5,,In Stock,Uridine,API Impurity Standards,13-disubstituted-acetyl-uridine,https://pharmavive.com/products/browse/uridine/13-disubstituted-acetyl-uridine,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753718437/products/vfgrbtxjxhezoltspetn.png,2025-07-28 15:59:38,2025-07-28 16:00:38,68879e6a63998afe53415f40
13,"1,3-disubstituted Uridine",PV-U004004,7561-36-6,"1,3-di-β-D-ribofuranosyl-1H-pyrimidine-2,4-dione",C14H20N2O10,376.3,,In Stock,Uridine,API Impurity Standards,13-disubstituted-uridine,https://pharmavive.com/products/browse/uridine/13-disubstituted-uridine,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753718463/products/fvrvapwmfqxl0azhcvan.png,2025-07-28 15:59:39,2025-07-28 16:01:03,68879e6b63998afe53415f48
14,1-Adamantylcarboxaldehyde,PV-S002009,2094-74-8,"Tricyclo[3.3.1.13,7]decane-1-carboxaldehyde;  1-Adamantanecarboxaldehyde;  1-Formyladamantane",C11H16O,164.2,,In Stock,Saxagliptin,API Impurity Standards,1-adamantylcarboxaldehyde,https://pharmavive.com/products/browse/saxagliptin/1-adamantylcarboxaldehyde,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753713216/products/p6jicushzo5bst931gpn.png,2025-07-28 14:30:20,2025-07-28 14:33:37,6887897c63998afe53415661
